,product_name,price
0,"Suporte para Notebook, OCTOO, Uptable, UP-BL, Preto"," 39,99"
1,Fire TV Stick | Streaming em Full HD com Alexa | Com Controle Remoto por Voz com Alexa (inclui comandos de TV)," 269,00"
2,Corda de Pular em PVC Vollo Vp1075," 19,10"
3,Garrafa Termica Contigo Matterhorn Monaco 591ml," 88,89"
4,Corda de Pular Muvin Basics Tamanho Ajustavel em PVC - Corda de Saltos Com Velocidade Para Treino Funcional - Exercicios...," 15,90"
5,Bicicleta Caloi Aro 29 Moab Flex Tamanho 17," 3.494,00"
6,11 Pecas Elastico Extensor Exercicio Funcional Ate 100 libras Kit Elastico Extensor Treinamento Pilates Exercicios Academia...," 34,00"
7,"Copo De Transicao, Philips Avent, Rosa"," 37,79"
8,"Mop Spray com Dispenser de 400 ml, (Borrifa, Limpa e Seca), MOP7800, Flash Limp"," 79,90"
9,Lavadora Lavamax Eco 10kg 110V branca Suggar," 409,00"
10,Lavadora Turbilhao Max 7kg 127V branca Suggar," 359,00"
11,"Cervejeira, Flex, 96L, Preto, 110v, Midea"," 2.002,50"
12,Depurador de ar Slim prata 60cm 110V Suggar," 319,00"
13,Lavadora Lavamax Eco 10kg 220V branca Suggar," 432,22"
14,"Kit Potes de Plastico Hermetico, 10 unidades, Electrolux"," 99,00"
15,"Fritadeira sem oleo, 3.3L, Preto, 127V, Oster"," 318,99"
16,"Caneca para Chopp e Cerveja de Vidro Caveira Rock Style Lyor Transparente, 510 ml"," 15,90"
17,ELECTROLUX FILTRO PARA PURIFICADOR PE11B/PE11X," 80,66"
18,"Balanca Digital de Cozinha, SF-400, Ate 10 kg, Escala 1 grama"," 36,80"
19,"Liquidificador Oster 1400 Full, 3,2L, 110V, Preto, 1400W, OLIQ610"," 174,99"
20,"Toalhas Umedecidas Sensitive, 96 unidades, Cuidado & Carinho"," 10,99"
21,YoPRO Bebida Lactea UHT Chocolate 15g de proteinas 250ml," 7,19"
22,Sabao Liquido Omo Puro Cuidado 3L," 53,90"
23,Creme Dental Colgate Total 12 Clean Mint 90g Promo 4 unidades," 24,90"
24,"Papel Higienico Elite Dualette Folha Dupla Ultra, 16 rolos"," 22,90"
25,Whey Zero Lactose Sabor Cacau Piracanjuba 250ml," 5,99"
